,日期,星期,最高温度,最低温度,天气,风向
105,2011/4/27,星期四,32℃,17℃,晴~多云,旋转风 微风
106,2011/4/28,星期五,33℃,16℃,晴~阵雨,旋转风 微风
107,2011/4/29,星期六,32℃,18℃,多云~阴,旋转风 微风
108,2011/4/30,星期日,30℃,20℃,阴,东北风 微风
109,2011/5/1,星期一,22℃,17℃,雷阵雨~小雨,旋转风 微风
110,2011/5/2,星期二,19℃,12℃,阴,北风 微风
111,2011/5/3,星期三,26℃,14℃,多云,旋转风 微风
112,2011/5/4,星期四,27℃,14℃,晴,旋转风 微风
113,2011/5/5,星期五,26℃,16℃,晴~多云,旋转风 微风
114,2011/5/6,星期六,30℃,18℃,多云,旋转风 微风
115,2011/5/7,星期日,31℃,18℃,多云,旋转风 微风
116,2011/5/8,星期一,29℃,19℃,阴~小雨,旋转风~东北风 微风
117,2011/5/9,星期二,27℃,22℃,小雨~阵雨,东北风 微风
118,2011/5/10,星期三,26℃,18℃,阴~阵雨,旋转风 微风
119,2011/5/11,星期四,28℃,20℃,多云~阴,旋转风 微风
120,2011/5/12,星期五,28℃,20℃,多云~阵雨,东北风 3-4级
121,2011/5/13,星期六,26℃,18℃,小雨,东北风 微风
122,2011/5/14,星期日,28℃,17℃,晴~多云,旋转风 微风
123,2011/5/15,星期一,26℃,16℃,阴~多云,旋转风 微风
124,2011/5/16,星期二,28℃,17℃,多云~晴,旋转风 微风
125,2011/5/17,星期三,30℃,18℃,多云,旋转风 微风
126,2011/5/18,星期四,32℃,17℃,晴,旋转风 微风
127,2011/5/19,星期五,32℃,22℃,多云~阴,旋转风 微风
128,2011/5/20,星期六,31℃,16℃,阴~中到大雨,旋转风~东北风 微风~4-5级
129,2011/5/21,星期日,17℃,14℃,阵雨~阴,东北风~旋转风 3-4级~微风
130,2011/5/22,星期一,22℃,14℃,多云~阴,北风 微风
131,2011/5/23,星期二,22℃,14℃,多云~阵雨,旋转风 微风
132,2011/5/24,星期三,23℃,14℃,阴,旋转风 微风
133,2011/5/25,星期四,27℃,16℃,多云,旋转风 微风
134,2011/5/26,星期五,29℃,17℃,晴~多云,旋转风 微风
135,2011/5/27,星期六,30℃,20℃,多云,旋转风 微风
136,2011/5/28,星期日,25℃,19℃,阵雨~小到中雨,旋转风~东北风 微风~3-4级
137,2011/5/29,星期一,25℃,19℃,阵雨~阴,东北风 3-4级~微风
138,2011/5/30,星期二,25℃,19℃,阵雨~阴,旋转风 微风
139,2011/5/31,星期三,28℃,17℃,晴~多云,旋转风 微风
140,2011/6/1,星期四,27℃,17℃,多云~阵雨,旋转风~北风 微风
141,2011/6/2,星期五,27℃,18℃,阴,旋转风 微风
142,2011/6/3,星期六,24℃,18℃,阵雨~阴,旋转风 微风
143,2011/6/4,星期日,28℃,19℃,多云~阵雨,旋转风 微风
144,2011/6/5,星期一,28℃,19℃,阵雨~阴,旋转风 微风
145,2011/6/6,星期二,31℃,19℃,晴~多云,旋转风 微风
146,2011/6/7,星期三,31℃,21℃,晴~阴,旋转风 微风
147,2011/6/8,星期四,34℃,22℃,多云~雷阵雨,北风 微风
148,2011/6/9,星期五,28℃,21℃,阴,东北风 微风
149,2011/6/10,星期六,32℃,21℃,多云,旋转风 微风
150,2011/6/11,星期日,31℃,21℃,多云,旋转风 微风
151,2011/6/12,星期一,32℃,21℃,多云~阵雨,旋转风 微风
152,2011/6/13,星期二,27℃,23℃,阵雨,旋转风 微风
153,2011/6/14,星期三,31℃,21℃,晴,旋转风 微风
154,2011/6/15,星期四,33℃,22℃,多云,旋转风 微风
155,2011/6/16,星期五,28℃,22℃,阵雨~中到大雨,北风 微风
156,2011/6/17,星期六,25℃,20℃,阵雨~阴,旋转风 微风
157,2011/6/18,星期日,31℃,22℃,多云~阴,旋转风 微风
158,2011/6/19,星期一,27℃,22℃,阴~阵雨,旋转风 微风
159,2011/6/20,星期二,26℃,23℃,阵雨,北风 微风
160,2011/6/21,星期三,27℃,22℃,阵雨~中雨,北风 微风
161,2011/6/22,星期四,26℃,22℃,阵雨~多云,旋转风 微风
162,2011/6/23,星期五,32℃,22℃,多云~晴,西风 微风
163,2011/6/24,星期六,34℃,22℃,晴~多云,旋转风 微风
164,2011/6/25,星期日,34℃,24℃,多云~阵雨,旋转风~北风 微风
165,2011/6/26,星期一,27℃,21℃,阵雨~阴,旋转风 微风
166,2011/6/27,星期二,32℃,20℃,晴~多云,旋转风 微风
167,2011/6/28,星期三,33℃,23℃,晴,旋转风 微风
168,2011/6/29,星期四,32℃,24℃,多云,旋转风 微风
169,2011/6/30,星期五,33℃,23℃,多云~阴,旋转风~北风 微风
170,2011/7/1,星期六,31℃,23℃,多云~中雨,北风 微风
171,2011/7/2,星期日,30℃,23℃,阴~阵雨,旋转风 微风
172,2011/7/3,星期一,31℃,24℃,小雨~阵雨,旋转风 微风
173,2011/7/4,星期二,29℃,23℃,阵雨~中雨,旋转风 微风
174,2011/7/5,星期三,27℃,24℃,小到中雨~中雨,北风 微风
175,2011/7/6,星期四,26℃,22℃,阴,北风 微风
176,2011/7/7,星期五,30℃,21℃,多云,旋转风 微风
177,2011/7/8,星期六,32℃,22℃,多云,旋转风 微风
178,2011/7/9,星期日,32℃,21℃,多云~阵雨,旋转风 微风
179,2011/7/10,星期一,27℃,23℃,阵雨,旋转风 微风
180,2011/7/11,星期二,26℃,21℃,阴~阵雨,北风 微风
181,2011/7/12,星期三,24℃,19℃,阵雨,北风 微风
182,2011/7/13,星期四,22℃,19℃,阵雨~阴,旋转风 微风
183,2011/7/14,星期五,28℃,20℃,阴~多云,旋转风 微风
184,2011/7/15,星期六,31℃,21℃,多云,旋转风 微风
185,2011/7/16,星期日,31℃,22℃,多云,旋转风 微风
186,2011/7/17,星期一,33℃,22℃,多云~晴,旋转风 微风
187,2011/7/18,星期二,34℃,21℃,多云,旋转风 微风
188,2011/7/19,星期三,30℃,22℃,多云,旋转风 微风
189,2011/7/20,星期四,32℃,22℃,多云~小到中雨,旋转风~北风 微风
190,2011/7/21,星期五,29℃,23℃,阴,北风 微风
191,2011/7/22,星期六,29℃,22℃,多云,旋转风 微风
192,2011/7/23,星期日,31℃,24℃,阵雨~阴,旋转风 微风
193,2011/7/24,星期一,31℃,23℃,多云,旋转风 微风
194,2011/7/25,星期二,32℃,23℃,多云~阴,旋转风 微风
195,2011/7/26,星期三,32℃,23℃,多云~雷阵雨,旋转风 微风
196,2011/7/27,星期四,32℃,24℃,多云~中雨,旋转风 微风
197,2011/7/28,星期五,28℃,23℃,中到大雨~暴雨,旋转风 微风
198,2011/7/29,星期六,24℃,20℃,暴雨~阵雨,北风~旋转风 3-4级~微风
199,2011/7/30,星期日,24℃,21℃,阵雨~中雨,北风 微风
200,2011/7/31,星期一,25℃,21℃,小雨,旋转风 微风
201,2011/8/1,星期二,27℃,20℃,阴,旋转风 微风
202,2011/8/2,星期三,30℃,21℃,多云~阵雨,旋转风 微风
203,2011/8/3,星期四,26℃,22℃,小雨~大雨,旋转风~北风 微风
204,2011/8/4,星期五,24℃,21℃,阵雨~阴,北风 微风
205,2011/8/5,星期六,30℃,21℃,多云,旋转风 微风
206,2011/8/6,星期日,32℃,21℃,晴~多云,旋转风 微风
207,2011/8/7,星期一,33℃,21℃,多云,旋转风 微风
208,2011/8/8,星期二,33℃,22℃,多云,旋转风 微风
209,2011/8/9,星期三,33℃,23℃,多云,旋转风 微风
210,2011/8/10,星期四,32℃,24℃,多云,旋转风 微风
211,2011/8/11,星期五,32℃,25℃,多云~阵雨,旋转风 微风
212,2011/8/12,星期六,32℃,25℃,阴,旋转风 微风
213,2011/8/13,星期日,32℃,25℃,阵雨,旋转风 微风
214,2011/8/14,星期一,33℃,25℃,多云~阵雨,北风 微风
215,2011/8/15,星期二,33℃,25℃,多云~阵雨,旋转风 微风
216,2011/8/16,星期三,34℃,26℃,多云~阵雨,旋转风 微风
217,2011/8/17,星期四,34℃,25℃,多云~雷阵雨,旋转风 微风
218,2011/8/18,星期五,35℃,25℃,多云~阴,旋转风 微风
219,2011/8/19,星期六,35℃,24℃,多云~阵雨,北风 微风
220,2011/8/20,星期日,33℃,26℃,多云~小雨,旋转风 微风
221,2011/8/21,星期一,24℃,22℃,小雨~阵雨,东北风 微风
222,2011/8/22,星期二,27℃,22℃,阴~多云,旋转风 微风
223,2011/8/23,星期三,30℃,19℃,多云,旋转风 微风
224,2011/8/24,星期四,30℃,20℃,多云,旋转风 微风
225,2011/8/25,星期五,31℃,20℃,多云,旋转风 微风
226,2011/8/26,星期六,31℃,21℃,多云,旋转风 微风
227,2011/8/27,星期日,31℃,22℃,晴~多云,旋转风 微风
228,2011/8/28,星期一,30℃,21℃,阵雨,旋转风 微风
229,2011/8/29,星期二,32℃,23℃,多云,旋转风 微风
230,2011/8/30,星期三,32℃,23℃,多云,旋转风 微风
231,2011/8/31,星期四,34℃,24℃,多云,旋转风 微风
232,2011/9/1,星期五,34℃,26℃,晴~多云,旋转风 微风
233,2011/9/2,星期六,34℃,25℃,多云,旋转风 微风
234,2011/9/3,星期日,33℃,24℃,多云,旋转风 微风
235,2011/9/4,星期一,33℃,24℃,多云~阵雨,旋转风 微风
236,2011/9/5,星期二,31℃,23℃,小雨~中雨,旋转风 微风
237,2011/9/6,星期三,25℃,20℃,小雨~小到中雨,东北风 3-4级~微风
238,2011/9/7,星期四,25℃,18℃,小雨~阵雨,北风~旋转风 微风
239,2011/9/8,星期五,26℃,19℃,多云,旋转风 微风
240,2011/9/9,星期六,27℃,20℃,多云~阴,北风 微风
241,2011/9/10,星期日,25℃,20℃,阴~小雨,旋转风 微风
242,2011/9/11,星期一,23℃,20℃,小雨,旋转风 微风
243,2011/9/12,星期二,22℃,19℃,阵雨~小雨,北风 微风
244,2011/9/13,星期三,24℃,19℃,阵雨~阴,北风 微风
245,2011/9/14,星期四,27℃,20℃,多云,旋转风 微风
246,2011/9/15,星期五,29℃,20℃,阴~阵雨,旋转风 微风
247,2011/9/16,星期六,27℃,20℃,阴~阵雨,旋转风~东北风 微风
248,2011/9/17,星期日,19℃,16℃,中雨,东北风 5-6级~3-4级
249,2011/9/18,星期一,19℃,16℃,阵雨,北风 微风
250,2011/9/19,星期二,21℃,17℃,阴,旋转风 微风
251,2011/9/20,星期三,18℃,15℃,阴~小雨,旋转风 微风
252,2011/9/21,星期四,20℃,15℃,阴,旋转风 微风
253,2011/9/22,星期五,19℃,15℃,阴~阵雨,旋转风 微风
254,2011/9/23,星期六,19℃,15℃,阴,东北风 微风
255,2011/9/24,星期日,21℃,15℃,阴~小雨,旋转风 微风
256,2011/9/25,星期一,24℃,14℃,阴,旋转风 微风
257,2011/9/26,星期二,23℃,17℃,阴,旋转风 微风
258,2011/9/27,星期三,21℃,16℃,小雨,旋转风~东北风 微风
259,2011/9/28,星期四,21℃,16℃,阴~小雨,东北风 微风
260,2011/9/29,星期五,24℃,17℃,多云,旋转风 微风
261,2011/9/30,星期六,25℃,16℃,多云~阵雨,旋转风 微风
262,2011/10/1,星期日,23℃,15℃,阴~小雨,旋转风~东北风 微风~3-4级
263,2011/10/2,星期一,21℃,16℃,阵雨,旋转风~东北风 微风
264,2011/10/3,星期二,16℃,14℃,阴~小雨,北风 3-4级
265,2011/10/4,星期三,22℃,14℃,多云,旋转风 微风
266,2011/10/5,星期四,24℃,15℃,多云,旋转风 微风
267,2011/10/6,星期五,23℃,15℃,多云~晴,旋转风 微风
268,2011/10/7,星期六,21℃,15℃,多云,旋转风 微风
269,2011/10/8,星期日,21℃,15℃,阴,旋转风 微风
270,2011/10/9,星期一,21℃,18℃,阴~阵雨,北风 微风
271,2011/10/10,星期二,24℃,18℃,阴~小雨,旋转风 微风
272,2011/10/11,星期三,22℃,18℃,阴,旋转风 微风
273,2011/10/12,星期四,22℃,17℃,阴~多云,旋转风 微风
274,2011/10/13,星期五,24℃,17℃,阴~多云,东北风 微风
275,2011/10/14,星期六,23℃,15℃,阴~多云,旋转风 微风
276,2011/10/15,星期日,22℃,14℃,多云,旋转风 微风
277,2011/10/16,星期一,23℃,14℃,多云,旋转风 微风
278,2011/10/17,星期二,23℃,13℃,晴~阴,旋转风 微风
279,2011/10/18,星期三,22℃,15℃,多云~阴,旋转风 微风
280,2011/10/19,星期四,22℃,15℃,阵雨~阴,旋转风 微风
281,2011/10/20,星期五,21℃,15℃,多云~阴,旋转风 微风
282,2011/10/21,星期六,21℃,14℃,阴,旋转风 微风
283,2011/10/22,星期日,20℃,14℃,阴~小雨,东北风 微风~3-4级
284,2011/10/23,星期一,19℃,15℃,阵雨,东北风 3-4级~微风
285,2011/10/24,星期二,21℃,15℃,阴,东北风 微风
286,2011/10/25,星期三,18℃,14℃,阵雨~小雨,东北风 微风
287,2011/10/26,星期四,16℃,13℃,小雨,东北风 微风
288,2011/10/27,星期五,16℃,13℃,小雨~阴,旋转风 微风
289,2011/10/28,星期六,19℃,11℃,多云~阵雨,旋转风 微风
290,2011/10/29,星期日,20℃,12℃,多云,旋转风 微风
291,2011/10/30,星期一,18℃,13℃,阴~阵雨,旋转风 微风
292,2011/10/31,星期二,18℃,13℃,阴~小雨,旋转风 微风
293,2011/11/1,星期三,15℃,13℃,阵雨~小雨,旋转风 微风
294,2011/11/2,星期四,17℃,14℃,小雨,旋转风 微风
295,2011/11/3,星期五,17℃,14℃,小雨,旋转风 微风
296,2011/11/4,星期六,18℃,15℃,阴~阵雨,旋转风 微风
297,2011/11/5,星期日,18℃,14℃,阴,旋转风 微风
298,2011/11/6,星期一,17℃,15℃,小雨,旋转风 微风
299,2011/11/7,星期二,18℃,14℃,多云~阴,旋转风 微风
300,2011/11/8,星期三,22℃,11℃,晴~多云,旋转风 微风
301,2011/11/9,星期四,21℃,10℃,晴,旋转风 微风
302,2011/11/10,星期五,19℃,13℃,多云,旋转风 微风
303,2011/11/11,星期六,19℃,12℃,多云~阵雨,东北风 微风
304,2011/11/12,星期日,14℃,11℃,小雨,东北风 微风
305,2011/11/13,星期一,17℃,7℃,晴~阴,旋转风 微风
306,2011/11/14,星期二,15℃,11℃,阴,旋转风 微风
307,2011/11/15,星期三,15℃,11℃,小雨,旋转风 微风
308,2011/11/16,星期四,16℃,11℃,阴,旋转风 微风
309,2011/11/17,星期五,16℃,12℃,阴~多云,旋转风 微风
310,2011/11/18,星期六,18℃,9℃,多云,旋转风 微风
311,2011/11/19,星期日,19℃,9℃,多云,旋转风 微风
312,2011/11/20,星期一,17℃,12℃,多云~阴,北风 微风
313,2011/11/21,星期二,17℃,12℃,阴,旋转风 微风
314,2011/11/22,星期三,19℃,10℃,晴~多云,旋转风 微风
315,2011/11/23,星期四,19℃,8℃,多云~阴,旋转风 微风
316,2011/11/24,星期五,19℃,11℃,多云~阴,旋转风 微风
317,2011/11/25,星期六,18℃,13℃,多云~阴,旋转风 微风
318,2011/11/26,星期日,19℃,13℃,多云,旋转风 微风
319,2011/11/27,星期一,19℃,13℃,阴,东北风 微风
320,2011/11/28,星期二,17℃,13℃,阴~阵雨,旋转风 微风
321,2011/11/29,星期三,15℃,10℃,小雨,东北风 3-4级
322,2011/11/30,星期四,13℃,7℃,阴,东北风 微风
323,2011/12/1,星期五,15℃,9℃,多云,东北风 微风
324,2011/12/2,星期六,15℃,5℃,多云~阴,东北风 微风
325,2011/12/3,星期日,13℃,8℃,多云~阵雨,东北风 微风
326,2011/12/4,星期一,11℃,7℃,多云~阵雨,旋转风 微风
327,2011/12/5,星期二,12℃,8℃,阴,北风 微风
328,2011/12/6,星期三,11℃,8℃,阵雨,东北风 微风
329,2011/12/7,星期四,12℃,7℃,阴,东北风 微风
330,2011/12/8,星期五,11℃,6℃,阴,旋转风 微风
331,2011/12/9,星期六,9℃,5℃,阴,北风 微风
332,2011/12/10,星期日,10℃,4℃,多云~阴,旋转风 微风
333,2011/12/11,星期一,9℃,4℃,阴,旋转风 微风
334,2011/12/12,星期二,10℃,3℃,多云,东北风 微风
335,2011/12/13,星期三,10℃,4℃,多云~阴,旋转风 微风
336,2011/12/14,星期四,7℃,4℃,阴,旋转风 微风
337,2011/12/15,星期五,10℃,4℃,多云~阴,旋转风 微风
338,2011/12/16,星期六,8℃,3℃,阴~小雨,东北风 微风
339,2011/12/17,星期日,8℃,5℃,小雨~阴,旋转风 微风
340,2011/12/18,星期一,9℃,2℃,多云~阴,旋转风 微风
341,2011/12/19,星期二,10℃,4℃,阴,旋转风 微风
342,2011/12/20,星期三,8℃,4℃,阴~阵雨,北风 微风
343,2011/12/21,星期四,9℃,5℃,阴,东北风 微风
344,2011/12/22,星期五,8℃,4℃,阴~阵雨,东北风 微风
345,2011/12/23,星期六,11℃,5℃,多云,旋转风 微风
346,2011/12/24,星期日,11℃,2℃,晴~多云,旋转风 微风
347,2011/12/25,星期一,9℃,4℃,阴,旋转风 微风
348,2011/12/26,星期二,9℃,4℃,阴~阵雨,东北风 微风
349,2011/12/27,星期三,9℃,4℃,阴~多云,旋转风 微风
350,2011/12/28,星期四,11℃,4℃,多云,旋转风 微风
351,2011/12/29,星期五,9℃,5℃,多云~阴,旋转风 微风
352,2011/12/30,星期六,9℃,5℃,阵雨,北风 微风
353,2011/12/31,星期日,11℃,4℃,多云,东北风 微风
354,2012/1/1,星期一,9℃,4℃,阴~小雨,东北风 微风
355,2012/1/2,星期二,8℃,4℃,阴~小雨,旋转风 微风
356,2012/1/3,星期三,5℃,1℃,阴,北风 微风
357,2012/1/4,星期四,7℃,2℃,阴~多云,东北风 微风
358,2012/1/5,星期五,6℃,3℃,多云,旋转风 微风
359,2012/1/6,星期六,7℃,2℃,阴,旋转风 微风
360,2012/1/7,星期日,6℃,3℃,阴~小雨,旋转风 微风
361,2012/1/8,星期一,7℃,3℃,阴,旋转风 微风
362,2012/1/9,星期二,7℃,3℃,阴,东北风 微风
363,2012/1/10,星期三,9℃,4℃,阴~小雨,东北风 微风
364,2012/1/11,星期四,7℃,3℃,小雨,旋转风 微风
365,2012/1/12,星期五,8℃,4℃,小雨,旋转风 微风
366,2012/1/13,星期六,7℃,4℃,阴~多云,旋转风 微风
367,2012/1/14,星期日,10℃,3℃,晴~多云,旋转风 微风
368,2012/1/16,星期一,8℃,4℃,阴~阵雨,旋转风 微风
369,2012/1/17,星期二,8℃,4℃,阴,旋转风 微风
370,2012/1/18,星期三,7℃,4℃,阴,旋转风 微风
371,2012/1/19,星期四,8℃,4℃,小雨~阴,旋转风 微风
372,2012/1/20,星期五,6℃,4℃,小雨~阴,旋转风 微风
373,2012/1/21,星期六,5℃,2℃,小雨,旋转风 微风
374,2012/1/22,星期日,8℃,2℃,阴,旋转风 微风
375,2012/1/23,星期一,6℃,1℃,阵雨~阴,旋转风 微风
376,2012/1/24,星期二,6℃,1℃,阴,东北风 微风
377,2012/1/25,星期三,7℃,-1℃,多云~阴,旋转风 微风
378,2012/1/26,星期四,7℃,2℃,阴,旋转风 微风
379,2012/1/27,星期五,6℃,3℃,阴,旋转风 微风
380,2012/1/28,星期六,9℃,3℃,多云~阵雨,东北风 微风
381,2012/1/29,星期日,8℃,3℃,阴,东北风 微风
382,2012/1/30,星期一,10℃,3℃,阴~多云,旋转风 微风
383,2012/1/31,星期二,10℃,4℃,阴,旋转风 微风
384,2012/2/1,星期三,10℃,5℃,阴~小雨,旋转风 微风
385,2012/2/2,星期四,8℃,6℃,小雨~阴,旋转风 微风
386,2012/2/3,星期五,11℃,3℃,多云,旋转风 微风
387,2012/2/4,星期六,10℃,5℃,多云,东北风 微风
388,2012/2/5,星期日,11℃,6℃,多云~阴,旋转风 微风
389,2012/2/6,星期一,11℃,4℃,多云,东北风 微风
390,2012/2/7,星期二,9℃,5℃,多云~阴,东北风 微风
391,2012/2/8,星期三,8℃,5℃,阴~小雨,东北风 3-4级
392,2012/2/9,星期四,7℃,3℃,小雨~阴,旋转风 微风
393,2012/2/10,星期五,10℃,2℃,多云,东北风 微风
394,2012/2/11,星期六,8℃,1℃,多云~阴,旋转风 微风
395,2012/2/12,星期日,11℃,3℃,多云,东北风 微风
396,2012/2/13,星期一,11℃,3℃,阴~多云,旋转风 微风
397,2012/2/14,星期二,10℃,3℃,阴,旋转风 微风
398,2012/2/15,星期三,11℃,4℃,多云~阴,旋转风 微风
399,2012/2/16,星期四,9℃,4℃,阴~小雨,北风 微风
400,2012/2/17,星期五,6℃,4℃,小雨,东北风 微风
401,2012/2/18,星期六,6℃,3℃,小雨~阴,东北风 微风
402,2012/2/19,星期日,8℃,3℃,阴,旋转风 微风
403,2012/2/20,星期一,9℃,3℃,阴~多云,旋转风 微风
404,2012/2/21,星期二,13℃,4℃,多云,旋转风 微风
